Ward_Code,Ward_Name,HSC Completed 2010/11,HSC Refused 2010/11,HSC Completed 2011/12,HSC Refused 2011/12,HSC Completed 2012/13,HSC Refused 2012/13,HSC Completed 2013/14,HSC Refused 2013/14
BLFX,Astley Bridge,227,74,229,21,177,15,156,16
BLFY,Bradshaw,158,37,156,11,130,5,203,8
BLFZ,Breightmet,313,51,879,155,193,18,193,22
BLGA,Bromley Cross,152,20,125,10,107,13,119,9
BLGB,Crompton,456,109,494,96,606,92,234,23
BLGC,Farnworth,615,121,1402,36,769,146,596,25
BLGD,Great Lever,586,187,799,90,500,18,569,15
BLGE,Halliwell,380,125,1053,154,1304,274,348,30
BLGF,Harper Green,570,161,638,46,318,23,294,15
BLGG,Heaton and Lostock,191,16,106,6,180,6,208,22
BLGH,Horwich and Blackrod,261,48,191,18,169,12,192,19
BLGJ,Horwich North East,261,41,200,15,256,18,307,13
BLGK,Hulton,312,59,410,31,276,9,295,31
BLGL,Kearsley,403,30,387,13,462,14,324,17
BLGM,Little Lever and Darcy Lever,361,42,194,18,464,7,249,9
BLGN,Rumworth,587,109,734,65,932,215,350,29
BLGP,Smithills,324,78,478,101,309,9,360,42
BLGQ,Tonge with the Haulgh,248,42,514,57,245,15,213,28
BLGR,Westhoughton North and Chew Moor,160,34,164,17,104,4,114,13
BLGS,Westhoughton South,240,52,147,22,114,16,163,9
BMFS,Besses,164,24,126,27,148,16,164,8
BMFT,Church,145,20,268,17,153,10,156,6
BMFU,East,227,31,187,35,219,18,234,22
BMFW,Elton,302,21,326,15,494,6,139,44
BMFX,Holyrood,284,41,215,15,124,20,78,9
BMFY,Moorside,452,57,503,27,220,17,176,13
BMFZ,North Manor,167,21,216,29,168,29,85,5
BMGA,Pilkington Park,118,25,71,21,93,13,71,7
BMGB,Radcliffe East,264,37,254,20,141,15,138,5
BMGC,Radcliffe North,258,28,92,14,167,13,149,6
BMGD,Radcliffe West,346,24,75,17,195,10,155,4
BMGE,Ramsbottom,192,12,236,21,169,80,170,82
BMGF,Redvales,306,35,85,13,209,13,164,4
BMGG,St Mary s,155,32,116,16,114,22,124,11
BMGH,Sedgley,273,48,310,26,294,17,133,12
BMGJ,Tottington,125,10,169,16,134,12,93,10
BMGK,Unsworth,201,16,159,23,85,11,99,13
BNGL,Ancoats and Clayton,614,27,674,25,584,12,428,21
BNGM,Ardwick,339,18,419,22,776,76,377,16
BNGN,Baguley,407,16,409,39,555,27,306,15
BNGP,Bradford,579,35,693,52,510,11,339,18
BNGQ,Brooklands,307,34,268,25,134,17,220,12
BNGR,Burnage,258,68,137,20,116,18,107,10
BNGS,Charlestown,367,29,637,39,496,17,297,12
BNGT,Cheetham,526,49,523,38,733,19,601,23
BNGU,Chorlton,189,50,154,17,239,4,158,8
BNGW,Chorlton Park,204,81,104,15,141,13,108,9
BNGX,City Centre,262,3,409,0,582,1,363,0
BNGY,Crumpsall,322,33,525,39,395,25,298,11
BNGZ,Didsbury East,152,73,110,17,199,11,109,8
BNHA,Didsbury West,63,27,82,9,99,11,110,6
BNHB,Fallowfield,233,14,387,31,120,14,93,8
BNHC,Gorton North,563,39,825,142,542,35,382,32
BNHD,Gorton South,610,39,518,130,1075,54,382,25
BNHE,Harpurhey,917,102,668,55,1167,29,1170,56
BNHF,Higher Blackley,1396,58,297,58,324,24,426,16
BNHG,Hulme,248,13,253,17,261,21,240,14
BNHH,Levenshulme,230,59,188,23,274,26,199,16
BNHJ,Longsight,475,29,344,44,825,23,302,13
BNHK,Miles Platting and Newton Heath,1577,49,653,40,781,14,599,24
BNHL,Moss Side,492,51,664,38,642,30,509,22
BNHM,Moston,293,47,416,45,291,17,258,12
BNHN,Northenden,405,27,368,19,396,27,442,14
BNHP,Old Moat,157,43,163,19,150,8,142,7
BNHQ,Rusholme,308,28,273,15,245,20,96,10
BNHR,Sharston,617,38,429,23,324,21,386,10
BNHS,Whalley Range,308,31,286,18,216,18,241,13
BNHT,Withington,124,28,119,12,136,7,169,5
BNHU,Woodhouse Park,374,25,324,16,298,23,263,13
BPFX,Alexandra,1574,20,346,9,506,23,251,13
BPFY,Chadderton Central,458,17,304,23,349,19,216,12
BPFZ,Chadderton North,533,16,284,22,174,20,189,9
BPGA,Chadderton South,735,22,346,14,301,17,124,9
BPGB,Coldhurst,1538,45,210,26,584,23,131,11
BPGC,0 Crompton,428,10,327,9,291,16,190,5
BPGD,Failsworth East,495,13,175,6,138,14,71,4
BPGE,Failsworth West,583,18,279,14,221,24,300,4
BPGF,Hollinwood,1242,13,329,18,318,14,182,9
BPGG,Medlock Vale,490,31,297,49,188,24,302,20
BPGH,Royton North,418,31,297,39,199,10,190,8
BPGJ,Royton South,439,14,307,13,274,19,299,4
BPGK,Saddleworth North,408,12,225,8,240,9,99,5
BPGL,Saddleworth South,538,17,328,10,119,5,68,5
BPGM,Saddleworth West and Lees,516,21,385,5,361,8,303,6
BPGN,St James,1241,31,217,21,465,26,241,3
BPGP,0 St Mary s,568,35,180,14,366,24,660,10
BPGQ,Shaw,705,4,180,19,281,11,141,3
BPGR,Waterhead,912,33,559,24,552,19,542,5
