LSOA_CODE,HSC Completed 2010/11,HSC Refused 2010/11,HSC Completed 2011/12,HSC Refused 2011/12,HSC Completed 2012/13,HSC Refused 2012/13,HSC Completed 2013/14,HSC Refused 2013/14
E01004766,22,8,36,4,22,4,42,5
E01004767,23,6,12,2,17,1,18,0
E01004768,15,7,10,0,8,1,11,1
E01004769,19,3,17,3,14,0,10,4
E01004770,16,0,10,0,13,2,10,1
E01004771,42,13,12,0,13,0,14,1
E01004772,59,30,72,10,60,4,30,2
E01004773,12,3,21,0,16,0,25,3
E01004774,30,7,48,3,27,3,9,1
E01004775,16,2,13,0,8,3,7,1
E01004776,20,10,12,5,14,0,22,1
E01004777,36,2,27,5,21,2,13,1
E01004778,39,3,12,0,10,0,28,2
E01004779,34,15,13,1,11,1,10,1
E01004780,34,3,24,3,12,0,12,3
E01004781,32,3,17,2,33,5,13,3
E01004782,35,13,60,1,9,1,25,0
E01004783,16,1,12,3,13,0,18,2
E01004784,11,2,11,2,13,0,15,1
E01004785,26,0,48,7,29,0,20,1
E01004786,17,4,14,1,23,1,15,0
E01004787,19,3,262,44,33,3,35,5
E01004788,16,2,10,0,22,1,17,0
E01004789,10,3,11,1,12,1,7,1
E01004790,21,3,20,0,16,2,20,1
E01004791,9,2,32,0,14,1,27,0
E01004792,5,2,28,2,18,1,17,2
E01004793,42,7,147,15,12,1,65,4
E01004794,66,18,59,6,10,0,49,1
E01004795,56,2,111,26,48,1,22,3
E01004796,19,6,51,13,12,0,7,2
E01004797,57,16,51,6,12,2,14,2
E01004798,35,6,97,31,16,2,31,3
E01004799,17,0,21,0,26,3,17,2
E01004800,13,0,20,1,4,1,7,1
E01004801,48,14,55,11,20,5,18,1
E01004802,77,29,97,18,45,9,36,3
E01004803,12,2,12,2,20,3,12,1
E01004804,8,1,11,1,11,0,7,0
E01004805,11,1,17,0,7,0,16,0
E01004806,34,3,11,2,20,2,15,0
E01004807,13,1,9,1,10,3,6,1
E01004808,8,1,13,2,6,0,10,1
E01004809,41,6,32,1,12,2,37,3
E01004810,13,4,9,1,15,1,11,4
E01004811,73,44,71,5,64,4,105,2
E01004812,28,2,26,1,31,4,21,1
E01004813,60,9,26,7,25,1,23,2
E01004814,25,6,76,0,80,1,51,2
E01004815,84,22,57,9,73,1,57,1
E01004816,16,7,68,2,46,2,18,0
E01004817,68,9,84,9,27,0,99,3
E01004818,58,9,45,3,21,2,15,2
E01004819,29,5,28,3,13,2,15,1
E01004820,49,20,86,31,239,50,23,4
E01004822,20,8,158,32,156,23,13,1
E01004823,76,18,183,17,270,67,71,5
E01004824,23,14,18,5,19,3,11,2
E01004825,68,16,71,12,87,20,11,1
E01004826,47,10,51,7,123,7,29,3
E01004827,75,5,85,8,266,60,92,8
E01004828,122,19,96,4,51,20,31,3
E01004829,90,18,59,0,13,1,23,3
E01004830,48,15,109,4,34,4,54,7
E01004831,51,5,35,6,65,3,48,12
E01004832,71,11,61,5,27,0,10,2
E01004833,14,4,38,3,42,0,17,4
E01004834,49,6,66,3,38,1,18,2
E01004835,23,4,15,0,18,1,8,1
E01004836,56,7,16,0,13,1,9,1
E01004837,22,0,5,1,15,1,27,1
E01004838,41,8,37,2,48,1,27,2
E01004839,43,9,43,6,64,1,95,2
E01004840,47,5,15,2,25,0,34,0
E01004841,58,17,219,58,14,3,82,2
E01004842,13,1,15,2,60,0,30,0
E01004843,19,1,14,0,22,1,61,2
E01004844,6,1,10,1,9,0,8,2
E01004845,24,0,13,0,17,0,52,13
E01004846,52,21,86,8,25,3,41,3
E01004847,86,23,224,25,73,2,86,3
E01004848,113,36,103,12,86,0,154,0
E01004849,30,8,53,24,34,2,9,4
E01004850,32,14,157,9,197,83,41,1
E01004851,42,5,106,7,118,18,93,4
E01004852,65,30,62,13,28,1,12,2
E01004853,29,5,76,5,140,26,29,3
E01004854,86,18,19,3,26,0,9,2
E01004855,32,11,48,1,76,14,27,2
E01004856,79,5,131,2,159,37,38,2
E01004857,34,4,102,1,96,24,57,4
E01004858,90,6,153,6,31,2,77,2
E01004859,23,5,136,2,158,62,94,3
E01004860,72,2,108,3,51,1,85,4
E01004861,61,24,168,4,60,0,23,0
E01004862,111,53,213,10,28,1,62,2
E01004863,44,4,218,4,47,1,64,1
E01004864,56,5,49,19,46,21,33,3
E01004865,67,10,49,6,63,5,29,1
E01004866,34,7,135,10,186,58,84,8
E01004867,62,7,54,2,26,7,24,1
E01004868,48,28,120,32,95,19,16,1
E01004869,57,12,189,20,115,25,43,7
E01004870,20,6,40,5,73,1,16,4
E01004871,29,7,13,1,29,6,13,0
E01004872,72,7,80,3,53,3,27,3
E01004873,56,10,47,3,43,3,41,2
E01004874,36,8,100,3,69,2,26,1
E01004875,49,7,33,0,38,6,26,3
E01004876,46,14,78,4,32,0,51,2
E01004877,184,63,127,20,25,8,30,2
E01004878,51,9,61,4,32,0,44,1
E01004879,80,36,94,8,26,3,37,2
E01004880,16,2,64,3,17,0,22,1
E01004881,36,9,20,5,103,1,121,4
E01004882,17,2,42,3,39,3,14,3
E01004883,30,4,73,1,15,1,28,3
E01004884,15,3,8,2,9,0,7,2
E01004885,8,3,4,1,9,1,13,0
E01004886,49,8,14,0,51,6,20,1
E01004887,47,6,11,1,30,3,86,0
E01004888,20,5,15,0,21,0,29,1
E01004889,51,6,22,3,29,2,35,3
E01004890,19,2,14,2,7,4,26,3
E01004891,19,2,46,1,9,0,26,3
E01004892,28,3,63,4,13,0,31,0
E01004893,10,0,9,3,9,0,5,0
E01004894,24,6,31,2,13,0,12,4
E01004895,43,8,8,2,24,3,14,1
E01004896,12,2,47,2,7,3,12,0
E01004897,7,0,8,2,8,0,5,1
E01004899,39,9,28,0,9,1,14,1
E01004900,11,2,11,1,16,1,9,3
E01004901,11,0,17,3,17,0,8,1
E01004902,41,5,50,1,95,3,76,1
E01004903,16,3,10,1,60,0,11,0
E01004904,15,1,27,0,33,1,17,3
E01004905,92,5,40,4,50,3,28,3
E01004906,44,2,96,2,78,4,104,4
E01004907,47,7,59,2,17,1,26,1
E01004908,24,1,20,1,80,0,16,0
E01004909,97,2,73,1,30,2,17,3
E01004910,27,4,17,1,21,1,30,2
E01004911,91,8,14,4,84,2,41,0
E01004912,49,3,29,0,32,0,30,2
E01004913,20,4,14,2,15,0,28,2
E01004914,20,1,11,0,115,1,17,2
E01004915,90,7,34,9,40,1,11,1
E01004916,40,5,24,2,78,0,51,1
E01004917,15,3,26,1,37,1,16,1
E01004918,12,3,14,0,50,2,15,0
E01004919,19,3,19,1,85,4,20,2
E01004920,22,8,18,1,27,0,36,18
E01004921,40,9,50,2,92,0,35,2
E01004922,37,14,105,26,44,1,73,2
E01004923,31,8,17,3,12,0,37,12
