Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Chief Executives,Seconded Employees,02.04.2013,5100627691,"£7,299.04",Dept for Communities and Local Govt
Manchester City Council,Chief Executives,Seconded Employees,02.04.2013,5100627670,"£7,066.41",Dept for Communities and Local Govt
Manchester City Council,Chief Executives,Seconded Employees,02.04.2013,5100627664,"£6,275.55",Dept for Communities and Local Govt
Manchester City Council,Chief Executives,Seconded Employees,02.04.2013,5100627667,"£6,246.29",Dept for Communities and Local Govt
Manchester City Council,Chief Executives,Seconded Employees,02.04.2013,5100627669,"£5,554.09",Dept for Communities and Local Govt
Manchester City Council,Chief Executives,Training and Development,02.04.2013,5100627677,"£14,500.00",North West Employers Ltd
Manchester City Council,Corporate Services,Rents,02.04.2013,5100627681,"£667,992.50",Ask Inv Fund (Grand Island) LP
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.04.2013,5100627718,"£1,166.36",Manchester Van Hire Ltd
Manchester City Council,Childrens Services,Car Parking Permits,02.04.2013,5100627690,"£1,043.33",National Car Parks Ltd Season Ticke
Manchester City Council,Manchester Leisure,Equipment,02.04.2013,5100627665,"£6,098.40",Groundwork Landscapes Ltd
Manchester City Council,Manchester Leisure,Equipment,02.04.2013,5100627697,"£1,385.00",Groundwork Landscapes Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,02.04.2013,5100627685,£605.75,MT Kaill (Plant Hire) Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,02.04.2013,5100627671,£602.90,MT Kaill (Plant Hire) Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.04.2013,1903596020,"£1,139.70",Chicken Joes Limited
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.04.2013,1903596031,£531.38,Chicken Joes Limited
Manchester City Council,Chief Executives,Proffesional Fees,02.04.2013,1903595741,"£7,240.75",Kpmg Llp
Manchester City Council,Regeneration Finance,Proffesional fees,02.04.2013,5100627682,"£10,000.00",Manchester Airport Plc
Manchester City Council,Hospitality + Trading Services,I T Provision,02.04.2013,5100627678,"£1,080.20",Mouchel Limited
Manchester City Council,Hospitality + Trading Services,I T Provision,02.04.2013,5100627674,£795.41,Mouchel Limited
Manchester City Council,Chief Executives,Advertising,02.04.2013,1903595700,£601.82,Nubian Enterprise
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.04.2013,5100627706,"£405,713.15",NU3PS
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.04.2013,5100627931,£500.15,Morson International
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.04.2013,5100627980,"£3,000.90",Hays Personnel
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.04.2013,5100627992,"£2,728.02",Hays Personnel
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.04.2013,5100627975,"£2,015.31",Hays Personnel
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.04.2013,5100627994,"£1,514.04",Hays Personnel
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.04.2013,5100627982,"£1,364.22",Hays Personnel
Manchester City Council,Hospitality + Trading Services,Agency staff provision,03.04.2013,5100627990,"£1,119.69",Hays Personnel
Manchester City Council,Adult Social Care,Agency staff provision,03.04.2013,5100627914,"£1,568.19",Reed Employment Plc
Manchester City Council,Adult Social Care,Agency staff provision,03.04.2013,5100627972,"£2,158.40",Hays Personnel
Manchester City Council,Adult Social Care,Agency staff provision,03.04.2013,5100627997,"£1,322.40",Hays Personnel
Manchester City Council,Childrens Services,Agency staff provision,03.04.2013,5100627914,£865.72,Reed Employment Plc
Manchester City Council,Childrens Services,Agency staff provision,03.04.2013,5100628004,"£1,029.84",Hays Personnel
Manchester City Council,Childrens Services,Agency staff provision,03.04.2013,5100628005,£908.15,Hays Personnel
Manchester City Council,Childrens Services,Agency staff provision,03.04.2013,5100627987,£715.40,Hays Personnel
Manchester City Council,Childrens Services,Agency staff provision,03.04.2013,5100627970,£511.00,Hays Personnel
Manchester City Council,Corporate Services,Agency staff provision,03.04.2013,5100627930,"£1,838.76",Morson International
Manchester City Council,Corporate Services,Agency staff provision,03.04.2013,5100627981,"£2,121.14",Hays Personnel
Manchester City Council,Corporate Services,Agency staff provision,03.04.2013,5100627991,"£2,024.98",Hays Personnel
Manchester City Council,Chief Executives,Agency staff provision,03.04.2013,5100628000,"£11,717.68",Hays Personnel
Manchester City Council,Chief Executives,Agency staff provision,03.04.2013,5100628002,"£5,609.70",Hays Personnel
Manchester City Council,Chief Executives,Agency staff provision,03.04.2013,5100627996,"£3,367.40",Hays Personnel
Manchester City Council,Chief Executives,Agency staff provision,03.04.2013,5100627978,"£1,817.20",Hays Personnel
Manchester City Council,Chief Executives,Agency staff provision,03.04.2013,5100627971,"£1,176.48",Hays Personnel
Manchester City Council,Chief Executives,Agency staff provision,03.04.2013,5100627974,"£1,043.00",Hays Personnel
Manchester City Council,Corporate Services,Training and Development,03.04.2013,5100627900,£710.00,Arc People Development Ltd
Manchester City Council,Childrens Services,Training and Development,03.04.2013,5100627896,"£3,100.00",Aim Project
Manchester City Council,Childrens Services,Training and Development,03.04.2013,5100627889,"£2,350.00",Aim Project
Manchester City Council,Adult Social Care,Rents,03.04.2013,5100627828,"£11,835.00",Coleman Investments Ltd
Manchester City Council,Adult Social Care,Rents,03.04.2013,5100627832,"£2,612.74",Ripley Property Management
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,03.04.2013,5100627849,"£20,520.00",Crystal Ball Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,03.04.2013,5100627911,"£18,862.20",Peel Mount Contract Furnishings Ltd
Manchester City Council,Adult Social Care,Equipment,03.04.2013,5100627854,"£1,970.00",Hearing Products International Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.04.2013,5100627808,"£2,184.84",Wolseley Util Ltd T/A Burdens Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.04.2013,5100627813,£660.20,Wolseley Util Ltd T/A Burdens Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.04.2013,1903600638,£695.00,Ecomix Concrete Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.04.2013,5100627841,£506.00,R & M Developments Ltd
Manchester City Council,Chief Executives,Hire of Equipment,03.04.2013,5100627912,"£1,070.97",Smiths Marquees
Manchester City Council,Chief Executives,Paper & Envelopes,03.04.2013,5100627803,"£1,197.00",Premier Paper Group Ltd
Manchester City Council,Chief Executives,Paper & Envelopes,03.04.2013,5100627802,£798.00,Premier Paper Group Ltd
Manchester City Council,Adult Social Care,Legal Fees,03.04.2013,5100627805,£500.00,Blackstone Chambers
Manchester City Council,Childrens Services,Proffesional fees,03.04.2013,5100627933,"£7,714.00",Music Stuff
Manchester City Council,Regeneration Finance,Proffesional Fees,03.04.2013,5100627814,"£37,500.00",Blue Orchid Management
Manchester City Council,Regeneration Finance,Proffesional Fees,03.04.2013,5100627810,"£12,500.00",Blue Orchid Management
Manchester City Council,Hospitality + Trading Services,I T Provision,03.04.2013,5100627717,"£1,016.95",Mouchel Limited
Manchester City Council,Hospitality + Trading Services,I T Provision,03.04.2013,5100627785,£910.47,Mouchel Limited
Manchester City Council,Hospitality + Trading Services,I T Provision,03.04.2013,5100627784,£909.26,Mouchel Limited
Manchester City Council,Hospitality + Trading Services,I T Provision,03.04.2013,5100627786,£818.84,Mouchel Limited
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,03.04.2013,5100627800,£680.00,Gov Net communications
Manchester City Council,Highways Services,Subsistence and Conference Expenses,03.04.2013,5100627794,"£4,080.00",Bike Right
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.04.2013,5100627910,"£162,532.00",National Football Museum
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595699,"£3,372.25",Assist
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595699,"£3,372.25",Assist
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595694,"£5,035.35",Community Forests Northwest Ltd
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595529,"£7,994.36",Water Adventure Centre
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595522,"£4,130.00",Cityco
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595692,"£1,500.00",Birch Community Centre Playscheme
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595530,"£1,992.00",Castlefield Forum
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595678,"£1,260.00",Caritas Lalley Centre
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595690,£894.44,Enhance4Youth
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595688,"£7,769.27",Coverdale & New Bank St Comm Assoc
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595531,£700.00,Gorton All Together
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595698,"£1,400.00",Rainbows Parent & Toddler Group
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903595698,"£1,400.00",Rainbows Parent & Toddler Group
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.04.2013,1903600664,"£3,800.00",Chapter 1 Charity Ltd
Manchester City Council,Childrens Services,Bed & Breakfast Acc,03.04.2013,5100627829,"£2,060.00",The Leaving Care Co Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.04.2013,5100627872,"£37,722.51",Manchester Care & Repair Ltd
Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,03.04.2013,5100627908,"£58,974.61",Barnardo's North West
Manchester City Council,Manchester Leisure,Payments for services,03.04.2013,5100627845,"£2,500.00",Manchester Sports & Leisure Trust
Manchester City Council,Manchester Leisure,Payments for services,03.04.2013,5100627882,£776.00,Enhance4Youth
Manchester City Council,Manchester Leisure,Payments for services,03.04.2013,5100627843,"£3,500.00",Chorlton Park Regeneration Group
Manchester City Council,Regeneration Finance,Payments for services,03.04.2013,5100627898,"£25,600.00",Commission for the New Economy
Manchester City Council,Adult Social Care,Personal needs of client,03.04.2013,5100627835,£860.00,Sidhil Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.04.2013,5100627902,"£4,226.00",Stannah Lift Services Ltd
