"Name","Address","Disabled access","Plot sizes","Rent","Guidance","Application","External link","Location"
"Abbey Hey allotments","Ackroyd Avenue, Abbey Hey, M18 8TL","Yes - some plots at this allotment have raised bed access","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.4694780942634,-2.1531808376312256"
"Abbotsford Road allotments","Abbotsford Road, Whally Range, M21 0RJ","","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.4463681,-2.2731849"
"Acorn Close allotments","Acorn Close, Levenshulme, M19 2HS","Yes - some plots at this allotment have raised bed access","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.4399406,-2.201186"
"Alexandra Road South allotments","Alexandra Road South, Whally Range, M16 8GH","","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.4451486,-2.2513914"
"Aquarius allotments","Crediton Close, Hulme, M15 6EW","","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.4647696,-2.2431477"
"Baguley allotments","Leaton Avenue,  Wythenshawe, M23 1HL","","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.3972582,-2.2870065"
"Bethnal Drive allotments","Shawfield Road, Fallowfield, M14 7ED","","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.4424745,-2.2360348"
"Bluestone Road allotments","Bluestone Road, Moston, M40 9JD","Yes - some plots at this allotment have raised bed access","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.5112132,-2.1938788"
"Bradley Fold allotments","Ford Lane, Didsbury, M20 2RU","","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.41252477903943,-2.2376060485839843"
"Brailsford Road allotments","Brailsford Road, Fallowfield, M14 6PT","","Large (approx. 167m² or 300 yd²)
Small (approx. 334m² or 150 yd²)","The rent is charged as an annual fee and is banded in three tiers depending on site:- 
Class A 23p per m² (19p per yd²) 
Class B 22p per m² (18.5p per yd²) 
Class C 20p per m² (17p per yd²)","<p><a href=\"/downloads/download/5222/allotment_plotholders_handbook\">Allotment plotholders handbook</a></p>","<p><a href=\"http://www.manchester.gov.uk/info/200073/parks_playgrounds_and_open_spaces/3104/allotments_in_manchester/2\">How to apply</a></p>","<p><a href=\"http://www.feedingmanchester.org.uk/allotments\">Feeding Manchester</a></p>","53.4412455,-2.2106915"
