"Road/street","Situated at","Using the grit","Location"
"Adamson Gardens, Didsbury","Adamson Gardens","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.417486944308436,-2.2442150115966797"
"Aked Close, Ardwick","Aked Close near  Winifred Massey Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.46638060170453,-2.215697765350342"
"Allesley Drive, Cheetwood","Allesley Drive outside Cheetwood Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.50079796234145,-2.2493863105773926"
"Arbory Avenue, Moston","Arbory Avenue near  St. George's Drive","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51067558403498,-2.1873092651367188"
"Ashley Lane, Harpurhey","Ashley Lane near  Kingscliffe Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.511083911610896,-2.203080654144287"
"Assheton Road, Newton Heath","Assheton Road near  Berry Brow","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.49340738371012,-2.1676111221313477"
"Athol Street, Gorton","Athol Street near  Aspinall Primary School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45465917708408,-2.160830497741699"
"Barlow Moor Road, Chorlton","Barlow Moor Road located near  to the archway opposite Southern Cemetery","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43011994691952,-2.266230583190918"
"Barlow Road, Levenshulme","Barlow Road near  Levenshulme Library","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.445279707368556,-2.186129093170166"
"Bazley Road, Northenden","Bazley Road outside Northenden Community School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.40941673634407,-2.2591280937194824"
"Beaver Road, Didsbury","Beaver Road near  Fog Lane","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42086293195627,-2.2261905670166016"
"Beech Road, Chorlton","Beech Road outside Ivy Court sheltered Accomodation","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.437866672245185,-2.2783327102661133"
"Beresford Road, Longsight","Beresford Road near  to the shopping centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45109420032582,-2.2025012969970703"
"Bickerdike Avenue, Longsight","Bickerdike Avenue near  Northmoor Road outside the park","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.451822553234344,-2.1901845932006836"
"Birch Road, Crumpsall","Birch Road near  Wareham Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51794195084637,-2.232820987701416"
"Bishops Gate, City Centre","Bishops Gate, off Lower Mosley Street, entrance to car parks","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47646418566981,-2.2449713945388794"
"Blackley New Road, Blackley","Blackley New Road near  Middleton Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52581935152674,-2.247905731201172"
"Boothroyden Road, Blackley","Boothroyden Road outside number 132","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.539185255661344,-2.2255897521972656"
"Bowland Road, Baguley","Bowland Road at shopping parade","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39528059116547,-2.2889328002929688"
"Brantingham Road, Chorlton","Brantingham Road near Buckingham Road ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44542028691653,-2.2744059562683105"
"Bridgewater Hall, City Centre","Bridgewater Hall top of the step in the public area","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4753659001399,-2.24595308303833"
"Bridgnorth Road, Blackley","Bridgnorth Road opposite Wilton Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.526214777562515,-2.237268090248108"
"Briscoe Lane, Newton Heath","Brisoce Lane opposite Scotland Hall Road, outside School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.497466617447124,-2.1845626831054688"
"Broadfield Road, Moss Side","Broadfield Road near  Bowes Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.451784219182116,-2.240116596221924"
"Brooklands Road, Blackley","Brooklands Road near  Cedric Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52229862149423,-2.250180244445801"
"Broom Lane, Levenshulme","Broom Lane outside Brookfield View near  Stockport Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43846743187121,-2.185807228088379"
"Brownley Road, Benchill ","Brownley Road outside the Benchill Medical Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.387756456293815,-2.255845069885254"
"Brundretts Road, Whalley Range","Brundretts Road near  Brahbam Close","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44223796322607,-2.2785472869873047"
"Burnage Lane, Burnage","Burnage Lane near  Carrgreen Close","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42441765952597,-2.2039926052093506"
"Burnage Lane, Burnage","Burnage Lane near Lavister Avenue","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.41929006196881,-2.2130584716796875"
"Butcher Lane, Baguley","Butcher Lane at bridge ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39917009851779,-2.3027944564819336"
"Calderbeck Way, Northenden","Calderbeck Way opposite Oakcroft Way","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39505028024038,-2.2520041465759277"
"Castlefield - City Centre","Castlefield - Tourist Information Centre in the public area","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47650249744264,-2.256016731262207"
"Catalan Square, Castlefield","Catalan Square, Castlefield near the canal","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47463795104327,-2.256145477294922"
"Catherine Street, Openshaw","Catherine Street opposite Openshaw Resource Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.471853749814954,-2.1642422676086426"
"Cecil Street, Moss Side","Cecil Street near  sports centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.460536263130024,-2.2344517707824707"
"Chariot St, Openshaw","Chariot St near Wheeler Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4757362554138,-2.16705322265625"
"Charles Street, City Centre","Charles Street near Oxford Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.473399131768204,-2.2399234771728516"
"Charlestown Road, Blackley","Charlestown Road near corner of Rochdale Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52125255111343,-2.214474678039551"
"Chichester Road, Hulme","Chichester Road near Bold St","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.462899644472714,-2.251553535461426"
"Chorlton Green, Chorlton","Chorlton Green on the path next to the cemetery","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4379753208918,-2.283053398132324"
"Chudleigh Road, Crumpsall","opposite Herristone park","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52107395114979,-2.239086627960205"
"Clarendon Road, Whalley Range","Clarendon Road near  the park","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44786118489999,-2.2685909271240234"
"Cleveland Road, Crumpsall","Cleveland Road near Parkhill Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52145666443559,-2.228851318359375"
"Clyde Road, Withington","Clyde Road near Queenston Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42411078829168,-2.242412567138672"
"Collyhurst Road, Cheetham Hill","Collyhurst Road near at Smedley Road & Eggington Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.49865367840407,-2.224602699279785"
"Copson Street, Withington","Copson Street at the shopping parade","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43386565214872,-2.2295379638671875"
"Croydon Drive, Newton Heath","Croydon Drive near Scotland Hall Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.493483976622656,-2.180013656616211"
"Cudworth Road, Blackley","Cudworth Road near Stanwick Avenue outside number 41","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.53195441719498,-2.2377991676330566"
"Culcheth Lane, Newton Heath","Culcheth Lane outside Christ the King school ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.49907488559373,-2.1771061420440674"
"Culcheth Lane, Newton Heath, near Sunbury Drive","Culcheth Lane near Sunbury Drive","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.493152073002584,-2.1732544898986816"
"Dalham Avenue, Blackley","Dalham Avenue near  to Pevensey Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52053814674122,-2.1946263313293457"
"Delamere Road, Levenshulme","Delamere Road near Gordon Avenue ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.442851441761725,-2.1873950958251953"
"Delaunays Road, Crumpsall","Delaunays Road outside North Manchester General Hospital","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51926239468334,-2.2300100326538086"
"Derby Road, Withington","Derby Road near  Mitford Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.436856865652146,-2.221212387084961"
"Dickenson Road, Rusholme","Dickenson Road near Laindon Road on the side of the shops","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45420558554606,-2.210226058959961"
"Duchess Road, Crumpsall","Duchess Road near Whiston Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.514388668146324,-2.2318124771118164"
"Eldermount Road, Blackley","Eldermount Road ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52062744794656,-2.216620445251465"
"Ellbourne Road, Blackley","Ellbourne Road near Hill Crescent","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.525870374448466,-2.240931987762451"
"Epping St, Hulme","Epping St near Arnott Crescent","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.46459864274389,-2.241286039352417"
"Evesham Road, Charlestown","Evesham Road near  White Moss Gardens","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52251548651123,-2.1928775310516357"
"Factory Lane, Blackley","Factory Lane near  the bend at the top as it starts to descend downhill ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51443970483646,-2.2166848182678223"
"Fairway Avenue, Brooklands","Fairway Avenue outside sub station","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.400858852862676,-2.3079872131347656"
"Fog Lane, Didsbury","Fog Lane, near the park","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42124654995661,-2.2238731384277344"
"Folkstone Rd West, Clayton","Folkstone Rd West near Vale Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.48767528822296,-2.1784257888793945"
"Ford Lane, Didsbury","Ford Lane near Stenner Lane","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.412294561442884,-2.238893508911133"
"Fortrose Avenue, Blackley","Fortrose Avenue adjacent to steps","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.525628015022875,-2.2333788871765137"
"George Leigh Street, Ancoats","George Leigh Street near Victoria Square","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.48524944660341,-2.2292375564575195"
"Gorton Lane, Gorton","Gorton Lane near Blackwin Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.468021981585274,-2.1878671646118164"
"Grange Lane, Didsbury","Grange Lane near Gilbrook Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.41560701682859,-2.2297310829162598"
"Grassington Avenue, Moston","Grassington Avenue ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51779523232416,-2.1945834159851074"
"Greenbrow Road, Newall Green","Greenbrow Road at shopping parade","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.38121441189061,-2.2814834126620553"
"Greenbrow Road, Newall Green","Greenbrow Road near Wensleydale Close ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.38064697438165,-2.2879135608673096"
"Greengate, Chadderton ","At steps to Greengate ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.529620390921544,-2.17529296875"
"Hall Moss Road, Higher Blackley","Hall Moss Road near Grange Park Road outside school","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52649540025157,-2.1949803829193115"
"Hampton Road, Chorlton","Hampton Road near Wilbraham Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4425447036012,-2.2883105278015137"
"Hardy Lane, Chorlton","Hardy Lane near Mauldeth Road West ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43252699450489,-2.270421981374966"
"Hargrave Close, Blackley","Hargrave Close outside number 6","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.53785905677744,-2.2255468368530273"
"Haveley Road, Benchill","Haveley Road outside shops","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.391803829750096,-2.2710871692106593"
"Hazelbottom Rd, Crumpsall","Hazelbottom Rd near Woodlands Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.50515490678948,-2.228751182119595"
"Heald Place, Rusholme","Heald Place near  the Heald Place Primary School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45197950941659,-2.228751182119595"
"Heaton Park Road, Blackley","Heaton Park Road near Parksway opposite Park View","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.53606506224497,-2.2338259219031897"
"Henderson Street, Levenshulme","Henderson Street near Hulme Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43889285818088,-2.1877670283720363"
"Hendham Vale, Blackley","Hendham Vale","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.50836,-2.209554"
"Hill Lane, Blackley","Hill Lane near French Barn Lane","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52426312288894,-2.2188949584960938"
"Holtby Street, Blackley","Holtby Street near Marlfield Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.5159951513774,-2.2106131910732074"
"Hyde Road, Gorton","Hyde Road near Tan Yard Brow","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45956532239908,-2.164950370788574"
"Inchfield Road, Moston","Inchfield Road near Brookside Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51811779966425,-2.1905136104032863"
"Kearsley Road, Crumpsall","Kearsley Road  near at Kathkin Avenue & Chudleigh Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.522477216294796,-2.2356319427490234"
"Kerscott Road, Brooklands","Kerscott Road opposite number 130 next to the power station","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.41170105259364,-2.294513583074149"
"Kincardine Road, Ardwick","Kincardine Road near Plymouth Grove near  Elizabeth Yarwood Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.466933962422196,-2.2259455918174353"
"Kings Road, Whalley Range","Kings Road near Wyverne Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.441626872284296,-2.261998727917671"
"Kingsbrook Road, Whalley Range","Kingsbrook Road near  Whalley Range Cricket Club","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44179473009669,-2.2540014981132117"
"Kingsway & Broadhill Road, Burnage ","Kingsway near Broadhill Road ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.431960880843576,-2.207307815551758"
"Kingsway & Green End Road, Burnage","Kingsway near Green End Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42731364770589,-2.210145592689514"
"Kingsway & Wilmslow Road, Didsbury","Kingsway & Wilmslow Road on footbridge over Kingsway near  the Gateway Hotel","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.408384295677955,-2.2207260127470363"
"Kirkmanshulme Lane, Longsight","Kirkmanshulme Lane corner of New Bank Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45952380141225,-2.201208472251892"
"Knutsford Road, Gorton","Knutsford Road near Haworth Road near  Sunnybrow Park","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.459750569384106,-2.1756939589977264"
"Lapwing Lane, Withington","Lapwing Lane near Palatine Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42514737548151,-2.2365081309180823"
"Leaton Avenue, Baguley","Leaton Avenue near Floatshall Road at bottom of footbridge","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39763480913509,-2.2868219017982483"
"Levedale Road, Higher Blackley","Levedale Road near Rochdale Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52913571359888,-2.2107410430908203"
"Little Peter Street, Castlefield","Little Peter Street at entrance to car parks","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47361076592966,-2.249028682599601"
"Lordsmead Street, Hulme","Lordsmead Street near Ledbury Close outside number 36","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.46882912973384,-2.259013652583235"
"Lytham Road, Fallowfield","Lytham Road near  Birchfields Primary School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4452285874176,-2.2048401832580566"
