"REFERENCE","LOCATION","APP TYPE","APP TYPE DECODE","VALIDATION DATE","PROPOSAL","RECOMMENDATION","RECOMMENDATION DECODE","DECISION DATE","DEVELOPMENT TYPE","DEVELOPMENT TYPE DECODE","WARD","WARD DECODE","NORTHING","EASTING","KEY VALUE"
"95/34816/TPO","315/317 Great Clowes Street Salford 7 ","95OR",,21/12/1995 00:00:00,"Crown reduce by 10%, crown thin by 5% and formatively prune all three trees.","PER","Approve",22/1/1996 00:00:00,,,"BR","Broughton","401080","382575","9534816TPO"
"92/29793/ADV","208-210 Great Clowes Street Salford 7 ","ADV","Advert Application",27/4/1992 00:00:00,"Display of five internally illuminated sign cases","REF","Refuse",19/8/1992 00:00:00,"14","Advertisements","BR","Broughton","400390","382860","9229793ADV"
"92/29863/ADV","Land On Langworthy Road Salford 6 ","ADV","Advert Application",15/5/1992 00:00:00,"Retention of non-illuminated 2 x 48 sheet advertisement hoardings","REF","Refuse",15/7/1992 00:00:00,"14","Advertisements","OR","Ordsall","398320","380556","9229863ADV"
"92/30231/ADV","Gable End Of House On Corner Of Clifford Street And Liverpool Road Eccles ","ADV","Advert Application",1/9/1992 00:00:00,"Display of non-illuminated advertisement hoarding on side
of dwellinghouse","REF","Refuse",21/10/1992 00:00:00,"14","Advertisements","BA","Barton","398035","375870","9230231ADV"
"92/30271/ADV","273 Great Clowes Street Salford 7 ","ADV","Advert Application",10/9/1992 00:00:00,"Retention of a non-illuminated wooden sign.","REF","Refuse",20/1/1993 00:00:00,"14","Advertisements","BR","Broughton","400856","382459","9230271ADV"
"92/30341/ADV","Ferguson House 11 Blackfriars Road Salford 3 ","ADV","Advert Application",25/9/1992 00:00:00,"Display of murals illuminated by floodlights.","WDN","Application Withdrawn",1/6/1993 00:00:00,"14","Advertisements","OR","Ordsall","398803","383414","9230341ADV"
"92/30536/ADV","Prince William House Eccles New Road Salford 5 ","ADV","Advert Application",9/11/1992 00:00:00,"Erection of 3 signs","PER","Approve",21/1/1993 00:00:00,"14","Advertisements","OR","Ordsall","398120","381260","9230536ADV"
"92/30531/ADV","Barton Aerdrome The Airport Hotel Liverpool Road Eccles ","ADV","Advert Application",18/11/1992 00:00:00," Iluminated signs","PER","Approve",18/2/1993 00:00:00,"14","Advertisements","IR","Irlam","396983","374367","9230531ADV"
"92/30537/ADV","Tsb 258/260 Liverpool Road Eccles ","ADV","Advert Application",19/11/1992 00:00:00,"Illuminated shop sign","PER","Approve",13/1/1993 00:00:00,"14","Advertisements","BA","Barton","398482","376558","9230537ADV"
"92/30552/ADV","First Floor, 184 Monton Road Monton Eccles ","ADV","Advert Application",24/11/1992 00:00:00,"Illuminated signs","PER","Approve",21/1/1993 00:00:00,"10","Minor - Other","EC","Eccles","399440","378770","9230552ADV"
"92/30585/ADV","333 Chorley Road Swinton ","ADV","Advert Application",3/12/1992 00:00:00,"Retention of illuminated window sign.","PER","Approve",29/1/1993 00:00:00,"14","Advertisements","SN","Swinton North","402075","377330","9230585ADV"
"92/30593/ADV","Walkden Conservative Club Longley Road Walkden Worsley ","ADV","Advert Application",4/12/1992 00:00:00,"Display of externally illuminated fascia sign and projecting double sided box sign.","PER","Approve",21/1/1993 00:00:00,"14","Advertisements",,,"402900","373649","9230593ADV"
"92/30602/ADV","Various Bus Shelters In Salford 3, 6 & 7 Various Sites . ","ADV","Advert Application",9/12/1992 00:00:00,"Display of internally illuminated advertisement panels.","PER","Approve",29/1/1993 00:00:00,"14","Advertisements",,,"000000","000000","9230602ADV"
"92/30601/ADV","17 Cutnook Lane Irlam ","ADV","Advert Application",9/12/1992 00:00:00,"Various bus shelters within Irlam","PER","Approve",29/1/1993 00:00:00,"14","Advertisements","IR","Irlam","000000","000000","9230601ADV"
"92/30624/ADV","Fire Station Fairhills Road Irlam ","ADV","Advert Application",11/12/1992 00:00:00,"Erection of flagpole","PER","Approve",21/1/1993 00:00:00,"14","Advertisements","CD","Cadishead","393795","372186","9230624ADV"
"92/30622/ADV","Site At Corner Of Appian Way With Bury New Road Salford 7 ","ADV","Advert Application",11/12/1992 00:00:00,"Display of internally illuminated fascia sign to front 
and side elevations.","PER","Approve",18/3/1993 00:00:00,"14","Advertisements","BR","Broughton","400486","383094","9230622ADV"
"92/30648/ADV","Land At The Corner Of Boothshall Way Leigh Road Worsley ","ADV","Advert Application",23/12/1992 00:00:00,"Display a chevron shaped hoarding","PER","Approve",23/2/1993 00:00:00,"14","Advertisements","BE","Boothstown And Ellenbrook","400705","372672","9230648ADV"
"92/30690/ADV","St Pauls Church Moor Lane Salford 7 ","ADV","Advert Application",31/12/1992 00:00:00,"Display of non-illuminated notice board.","PER","Approve",18/2/1993 00:00:00,"14","Advertisements","KR","Kersal","402075","382043","9230690ADV"
"93/30713/ADV","21 The Parade Swinton ","ADV","Advert Application",7/1/1993 00:00:00,"Display of internally illuminated shop sign and
projecting box sign.","WDN","Application Withdrawn",1/2/1993 00:00:00,"14","Advertisements","SS","Swinton South","401820","377650","9330713ADV"
"93/30717/ADV","Abbey National Bank 10 The Mall Eccles ","ADV","Advert Application",12/1/1993 00:00:00,"Display of internally illuminated fascia and projecting 
sign.","PER","Approve",26/2/1993 00:00:00,"14","Advertisements","EC","Eccles","398651","377790","9330717ADV"
"93/30742/ADV","Carpet-World Limited Regent Road Salford 5 ","ADV","Advert Application",20/1/1993 00:00:00,"Display of external floodlighting fascia/shop sign","PER","Approve",5/8/1993 00:00:00,"14","Advertisements","OR","Ordsall","397975","381835","9330742ADV"
"93/30745/ADV","Kwiksave Centre Fairhills Road Irlam ","ADV","Advert Application",21/1/1993 00:00:00,"Display of 2 no. part illuminated part non-illuminated gantry signs on edge of site","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","CD","Cadishead","393856","372562","9330745ADV"
"93/30803/ADV","Swinton Ford 171 Moorside Road Swinton ","ADV","Advert Application",8/2/1993 00:00:00,"Display of internally illuminated fascia signs..","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","SN","Swinton North","401685","376610","9330803ADV"
"93/30829/ADV","60 Chapel Street Salford 3 ","ADV","Advert Application",11/2/1993 00:00:00,"Display of new advert sign on gable.","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","OR","Ordsall","398735","383590","9330829ADV"
"93/30864/ADV","270 Bury New Road Salford 7 ","ADV","Advert Application",22/2/1993 00:00:00,"Display of 5m high internally illuminated gantry sign.","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","BR","Broughton","400492","383096","9330864ADV"
"93/30886/ADV","356 Worsley Road Winton Eccles ","ADV","Advert Application",26/2/1993 00:00:00,"Display of illuminated canopy blind and hanging box sign.","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","WI","Winton","399378","375490","9330886ADV"
"93/30894/ADV","Burger King Drive-Thru Regent Road Salford 5 ","ADV","Advert Application",2/3/1993 00:00:00,"Retention of internally illuminated fascia sign and ground signage.","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","OR","Ordsall","397945","381650","9330894ADV"
"93/30908/ADV","Gable Of 277/279 Chapel Street Salford 3 ","ADV","Advert Application",3/3/1993 00:00:00,"Display of 1 x 48 sheet advertisement panel","REF","Refuse",18/5/1993 00:00:00,"14","Advertisements","OR","Ordsall","398526","382878","9330908ADV"
"93/30930/ADV","Vanguard House Merchants Quay Salford Quays Salford 5 ","ADV","Advert Application",8/3/1993 00:00:00,"Display of internally illuminated office sign","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","OR","Ordsall","396983","382075","9330930ADV"
"93/30927/ADV","Foresters Arms 377 Chorley Road Swinton ","ADV","Advert Application",8/3/1993 00:00:00,"Display of 11 signs illuminated by floodlights","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","SN","Swinton North","402080","377227","9330927ADV"
"93/30929/ADV","Starvin Marvins Trafford Road Salford 5 ","ADV","Advert Application",8/3/1993 00:00:00,"Display of internally illuminated post and entrance signs","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","OR","Ordsall","397220","381367","9330929ADV"
"93/30931/ADV","Netto Foodstore 510 Liverpool Road Eccles ","ADV","Advert Application",8/3/1993 00:00:00,"Display of various externally illuminated pub signs.","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","WI","Winton","398016","375787","9330931ADV"
"93/30940/ADV","30 Church Street Eccles ","ADV","Advert Application",11/3/1993 00:00:00,"Display of an advertisement sign.","PER","Approve",25/5/1993 00:00:00,"14","Advertisements","EC","Eccles","398720","377955","9330940ADV"
"93/30955/ADV","Walkden Shopping Precinct Bolton Road Walkden Worsley ","ADV","Advert Application",15/3/1993 00:00:00,"Display of four internally illuminated signs.","PER","Approve",25/5/1993 00:00:00,"14","Advertisements","WN","Walkden North","403307","373450","9330955ADV"
"93/30956/ADV","Gala Club, Belevdere Road/ Hankinson Way Salford 6 ","ADV","Advert Application",15/3/1993 00:00:00,"Display of several internally and externally illuminated signs and floodlighting","PER","Approve",18/5/1993 00:00:00,"14","Advertisements","LG","Langworthy","399203","381184","9330956ADV"
"93/30964/ADV","Former Naptha Premises, Bounded By West Egerton Street/ Liverpool Street Salford 5 ","ADV","Advert Application",15/3/1993 00:00:00,"Continued display of 3 non-illuminated agents boards two 10' x 8'
and one 5' x 4'.","PER","Approve",18/5/1993 00:00:00,"14","Advertisements",,,"398128","381930","9330964ADV"
"93/30968/ADV","The New Ellesmere PH East Lancashire Road Swinton ","ADV","Advert Application",16/3/1993 00:00:00,"Display several new illuminated pub signs.","PER","Approve",25/5/1993 00:00:00,"14","Advertisements","WO","Worsley","400975","377132","9330968ADV"
"93/30977/ADV","Ellesmere Garage East Lancashire Road Worsley ","ADV","Advert Application",18/3/1993 00:00:00,"Replacement of various non-illuminated and illuminated petrol station
signs.","PER","Approve",25/5/1993 00:00:00,"14","Advertisements","WO","Worsley","401810","374870","9330977ADV"
"93/30988/ADV","Former Ambassador Bingo Club Langworthy Road Salford 6 ","ADV","Advert Application",23/3/1993 00:00:00,"Display of internally illuminated fascia sign and projecting sign","PER","Approve",21/7/1993 00:00:00,"14","Advertisements","LG","Langworthy","399584","380454","9330988ADV"
"93/31008/ADV","Land At Junction Of Manchester Road And Wynne Avenue Clifton ","ADV","Advert Application",24/3/1993 00:00:00,"Display of externally illuminated fascia sign with fluorescent 
canopies, also internally illuminated landscape sign and flag poles.","PER","Approve",25/5/1993 00:00:00,"14","Advertisements","PE","Pendlebury","403285","377895","9331008ADV"
"93/31044/ADV","Worsley Service Station Walkden Road Worsley ","ADV","Advert Application",6/4/1993 00:00:00,"Display of 5 internally illuminated poster boxes.","REF","Refuse",20/5/1993 00:00:00,"14","Advertisements","WO","Worsley","401627","374218","9331044ADV"
"93/31037/ADV","Yates Wine Bar 161-169 Chorley Road Swinton ","ADV","Advert Application",6/4/1993 00:00:00,"Display of illuminated shop sign/projecting sign and free standing poster sign.","PER","Approve",21/6/1993 00:00:00,"14","Advertisements","SS","Swinton South","401763","377630","9331037ADV"
"93/31082/ADV","47 Crescent Salford 5 ","ADV","Advert Application",15/4/1993 00:00:00,"Display of internally illuminated projecting sign.","PER","Approve",21/6/1993 00:00:00,"14","Advertisements","IW","Irwell Riverside","398626","382025","9331082ADV"
"93/31103/ADV","8 Bevendon Square Salford 7 ","ADV","Advert Application",21/4/1993 00:00:00,"Display of externally illuminated shop/directional sign on gable.","REF","Refuse",21/6/1993 00:00:00,"14","Advertisements","BR","Broughton","400724","383156","9331103ADV"
"93/31034/ADV","1 Moorside Road Swinton ","ADV","Advert Application",26/4/1993 00:00:00,"Display of internally illuminated projecting sign.","PER","Approve",21/6/1993 00:00:00,"14","Advertisements","WO","Worsley","401348","376485","9331034ADV"
