Location,Cardboard,Paper,Cartons,Shoes,Glass,Textiles,Cans,Foil,Plastic Bottles,Aerosols,Eastings,Northings,UPRN,Address,Postcode
"Standfield Shopping Precinct, Boothstown",Y,Y,Y,Y,Y,Y,,,,,372500,400828,10090619924,Recycling Point Standfield Shopping Centre Worsley Manchester M28 1FB ,M28 1FB
"Civic Centre, Swinton",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,377654,401511,10090621270,Recycling Point Salford Civic Centre Chorley Road Swinton Manchester M27 5AW,M27 5AW
"Crompton House, Swinton",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,377452,401794,10070741085,Recycling Point Crompton House 100 Chorley Road Swinton Manchester M27 6BP ,M27 6BP
"Ellesmere Sports Club, Worsley",Y,Y,Y,,Y,,Y,Y,Y,Y,374098,401598,10090619971,Recycling Point Ellesmere Bowling Tennis And Croquet Club Walkden Road Worsley Manchester M28 2RZ ,M28 2RZ
"John William Car Park, Eccles",Y,Y,Y,Y,Y,Y,,,,,377745,398784,10090619937,Recycling Point John William Street Eccles Manchester M30 0LJ ,M30 0LJ
Little Hulton Shopping Precinct,,,,,Y,,,,,,372185,403784,10090619952,Recycling Point Salford City Council Car Park County Road Worsley Manchester M28 0AZ ,M28 0AZ
"Mocha Parade, Lower Broughton",,,,,Y,,,,,,382782,399513,10090619925,Recycling Point Mocha Parade Salford M7 1QE ,M7 1QE
"Monton Road Car Park, Monton",Y,Y,Y,Y,Y,,Y,Y,Y,Y,376844,399503,10090619955,Recycling Point Salford City Council Car Park Monton Road Eccles Manchester M30 9GA ,M30 9GA
"Morrison Superstore, Bentcliffe Way, Eccles",Y,Y,Y,Y,Y,Y,Y,,Y,,377734,398415,10070741080,Recycling Point 7 Irwell Place Eccles Manchester M30 0FH ,M30 0FH
"Morrison Superstore, Swinton Hall Road",Y,Y,Y,Y,Y,Y,Y,,,,377801,401946,10090619958,Recycling Point Swinton Hall Road Pendlebury Swinton Manchester M27 4BT ,M27 4BT
"Castle Irwell Student Village, Cromwell Road",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,381975,400324,10090619926,Recycling Point Castle Irwell Student Village Cromwell Road Salford M6 6DB ,M6 6DB
"St. Lukes Presbytery, Claremont",,,,,Y,,,,Y,,379305,400465,10090619932,Recycling Point St Lukes Presbytery Swinton Park Road Salford M6 7WR ,M6 7WR
"Tesco Car Park, Walkden",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,373336,403327,10090619965,Recycling Point Tesco Extra Campbell Way Worsley Manchester M28 3BE ,M28 3BE
"Tesco Superstore, Fairhills Road, Irlam",,,,Y,Y,Y,Y,,Y,,372011,393717,10090619950,Recycling Point Tesco Fairhills Road Irlam Manchester M44 6BL ,M44 6BL
"The Servite Parish Centre, Broughton",,,,,Y,,,,,,382176,402268,10090619928,Recycling Point Cavendish Road Salford M7 4WP ,M7 4WP
"Turnpike House, 631 Eccles New Road",Y,Y,Y,,Y,,Y,Y,Y,Y,379202,398466,10090619969,Recycling Point Turnpike House 631 Eccles New Road Salford M50 1SW ,M50 1SW
"Clifton Country Park, Clifton",,Y,,,Y,,,,Y,,377133,404085,10090619935,Recycling Point Clifton Country Park Clifton House Road Clifton Swinton Manchester M27 6NG ,M27 6NG
"Victoria Park, Park Street, Swinton",,Y,,,Y,,,,Y,,378445,401572,10090619964,Recycling Point Victoria Park Swinton Hall Road Pendlebury Swinton Manchester M27 4UA ,M27 4UA
"Blackleach Country Park, Walkden (off Bolton Road)",,Y,,,Y,,,,Y,,373714,403809,10090619967,Recycling Point Blackleach Country Park Visitor Centre John Street Worsley Manchester M28 3QQ ,M28 3QQ
"Buile Hill Park, Eccles Old Road",,Y,,,Y,,,,Y,,379812,399380,10090619968,Recycling Point Buile Hill Park Eccles Old Road Salford M6 8RF ,M6 8RF
"Co-op Superstore, Bolton Road",Y,Y,Y,Y,Y,Y,,,,,379533,400577,10090619933,Co-op Superstore Recycling Point 389 Bolton Road Salford M6 7NJ ,M6 7NJ
Lumns Lane Household Waste Recycling Centre,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,379448,402300,10090619934,Recycling Point Lumns Lane Clifton Swinton Manchester M27 8LN ,M27 8LN
Boysnope Wharf Household Waste Recycling Centre,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,373591,395750,10024417082,Household Waste Recycling Centre Boysnope Wharf Eccles Manchester M30 7RH ,M30 7RH
"St James Rectory, Great Cheetham Street East",Y,Y,Y,,Y,,Y,Y,Y,Y,383368,400797,10090620118,Recycling Point The Rectory 396 Great Cheetham Street East Salford M7 4UH ,M7 4UH
Lester Road Houshold Waste Recycling Centre,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,371075,404187,10090619951,Recycling Point Lester Road Little Hulton Manchester M38 0PT ,M38 0PT
Cobden Street Household Waste Recycling Centre,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,380872,400063,10090619956,Recycling Point Salford Refuse Treatment Plant Cobden Street Salford M6 6WF ,M6 6WF
