ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
BACK HILTON STREET,UNASSIGNED,COL/035/002/0003,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 4,Yes,Salford 7,Broughton Ward,5m,M44 5YE
CRESCENT,UNASSIGNED,SGN/200/023/0019-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5YE
CRESCENT,CENT.RES.JCT. ALBION PLACE,COL/200/023/0019,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5YD
CRESCENT,UNASSIGNED,SGN/200/023/0018-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5YG
GOODSHAW ROAD,ROAD OPPOSITE 7 SECT.38 SEE DWG NO. WO/94/,COL/002/085/0002,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5YD
CHETHAM CLOSE,UNASSIGNED  LA FEED FROM PILLAR WHICH IS M,CPRK/805/006/0001,Lighting Column 8m,Steel,SL - Car Park,Urbis,High P Sodium (T),100 watts,,Level 4,No,,,8m,M44 5HP
CRESCENT,CENT.RES.NR.ALBION PLACE,COL/200/023/0018,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5HW
GOODSHAW ROAD,ROAD OUTSIDE 1/3 SECT.38 SEE DWG NO. WO/94,COL/002/085/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5YD
CRESCENT,UNASSIGNED,SGN/200/023/0017-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5HP
GOODIERS DRIVE,ROAD AT OR OUTSIDE 131/133,COL/047/024/0033,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 4,Yes,Salford 5,Ordsall Ward,5m,M44 5HW
CRESCENT,CENT.RES.NR.ALBION PLACE,COL/200/023/0017,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5YN
