Unit Type,Unit No.,Address 1,Address 2,Easting,Northing,MH - MOUNTING HEIGHT,CT - COLUMN TYPE,LT - LAMP TYPE,LW - LAMP WATTS
LIGHTING COLUMN,1,ABBEY GARDENS,MOTTRAM,399038.8,395140.72,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ABBEY GARDENS,MOTTRAM,399020,395163,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,3,ABBEY GARDENS,MOTTRAM,398995.15,395172.09,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,4,ABBEY GARDENS,MOTTRAM,398983,395163,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,5,ABBEY GARDENS,MOTTRAM,398963,395171,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,6,ABBEY GARDENS,MOTTRAM,398949,395175,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,7,ABBEY GARDENS,MOTTRAM,398961,395189,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,8,ABBEY GARDENS,MOTTRAM,398975,395195,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,1,ABBEY GROVE,MOTTRAM,398897,395198,5 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,2,ABBEY GROVE,MOTTRAM,398909,395175,5 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,3,ABBEY GROVE,MOTTRAM,398935,395155,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,4,ABBEY GROVE,MOTTRAM,398952,395139,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,5,ABBEY GROVE,MOTTRAM,398969,395129,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,6,ABBEY GROVE,MOTTRAM,398988,395120,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,7,ABBEY GROVE,MOTTRAM,398960,395110,5 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,8,ABBEY GROVE,MOTTRAM,398980,395094,5 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,5,ABBEY ROAD,DROYLSDEN,389917,399087,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ABBEY ROAD,DROYLSDEN,389919.26,399056.84,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ABBEYDALE CLOSE,ASHTON-UNDER-LYNE,395506,400829,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ABBEYDALE CLOSE,ASHTON-UNDER-LYNE,395487,400815,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ABBEYDALE CLOSE,ASHTON-UNDER-LYNE,395472,400787,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,ABBEYDALE CLOSE,ASHTON-UNDER-LYNE,395468,400755,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,ABBEYDALE CLOSE,ASHTON-UNDER-LYNE,395446,400740,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ABINGDON STREET,ASHTON-UNDER-LYNE,394925,398931,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ABINGDON STREET,ASHTON-UNDER-LYNE,394892,398949,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ABINGDON STREET,ASHTON-UNDER-LYNE,394853,398949,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,ABINGDON STREET,ASHTON-UNDER-LYNE,394821,398967,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ABNEY GRANGE,MOSSLEY,398380.66,401912.77,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ABNEY GRANGE,MOSSLEY,398367.17,401926.66,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ABNEY GRANGE,MOSSLEY,398343.09,401917,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,ABNEY GRANGE,MOSSLEY,398332.64,401932.08,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,ABNEY GRANGE,MOSSLEY,398316.24,401948.22,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ABNEY GRANGE,MOSSLEY,398337.8,401951.13,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,7,ABNEY GRANGE,MOSSLEY,398367.3,401961.32,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,8,ABNEY GRANGE,MOSSLEY,398387.28,401960.13,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,9,ABNEY GRANGE,MOSSLEY,398402.76,401959.73,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ABNEY ROAD,MOSSLEY,397251,401853,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ABNEY ROAD,MOSSLEY,397267,401882,5 Metre,CONCRETE,L.P.SODIUM,35 WATTS
LIGHTING COLUMN,3,ABNEY ROAD,MOSSLEY,397292,401912,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,ABNEY ROAD,MOSSLEY,397310,401944,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,ABNEY ROAD,MOSSLEY,397327,401976,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ACACIA AVENUE,DENTON,393178,395156,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ACACIA AVENUE,DENTON,393172,395206,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ACACIA AVENUE,DENTON,393210,395198,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,ACACIA AVENUE,DENTON,393247,395207,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,ACACIA AVENUE,DENTON,393213,395225,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ACACIA AVENUE,DENTON,393238,395226,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
