Reference,Application Number,Application Type,Decision Date,Decision Type Code,Statutory Return Description,LSOA,MSOA,COA,Ward,Locality,Longitude,Latitude
407553,78109/HHA/2012,HHA,20120402,REFUSED,Other: Householder developments,E01006146,E02001262,00BUFL0012,00BUGM,North,381564.2165,395066.8725
406998,78085/FULL/2012,FULL,20120402,APPCOND,Minor: All other minor developments,E01006142,E02001269,00BUFL0024,00BUGM,North,380708.2885,394592.8282
406333,78131/FULL/2012,FULL,20120402,APPCOND,Minor: Offices / R & D / light industry,E01006075,E02001283,00BUFA0011,00BUFY,South,376640.4144,387771.1009
407297,78081/HHA/2012,HHA,20120402,APPCOND,Other: Householder developments,E01006112,E02001259,00BUFF0017,00BUGE,North,382780.899,396123.65
407018,78098/HHA/2012,HHA,20120402,APPCOND,Other: Householder developments,E01006204,E02001280,00BUFX0005,00BUGU,South,379261.9646,388835.0664
407256,78115/FULL/2012,FULL,20120403,APPCOND,Minor: Retail distribution and servicing,E01006160,E02001273,00BUFP0027,00BUGN,Central,378553.0048,392101.9312
407155,78140/COU/2012,FULL,20120403,APPCOND,Minor: All other minor developments,E01006202,E02001267,00BUFW0013,00BUGT,West,376729.222,394545.9616
405233,77780/FULL/2011,FULL,20120403,APPCOND,Minor: All other minor developments,E01006164,E02001272,00BUFP0037,00BUGN,Central,380751.0226,392475.2844
407454,78114/AA/2012,AA,20120403,APPCOND,Other: Advertisements,E01006160,E02001273,00BUFP0027,00BUGN,Central,378553.0048,392101.8213
407777,78157/HHA/2012,HHA,20120403,APPCOND,Other: Householder developments,E01006148,E02001274,00BUFM0026,00BUFZ,Central,377520.5912,392269.2434
407393,78107/HHA/2012,HHA,20120404,REFUSED,Other: Householder developments,E01006087,E02001283,00BUFB0037,00BUGA,South,372307.5112,388306.6676
407293,78111/HHA/2012,HHA,20120404,REFUSED,Other: Householder developments,E01006112,E02001259,00BUFF0017,00BUGE,North,382650.8579,396055.5995
407714,78152/FULL/2012,FULL,20120404,APPCOND,Minor: Dwellings,E01006202,E02001267,00BUFW0013,00BUGT,West,376780.9762,394483.0796
407616,78123/HHA/2012,HHA,20120404,APPCOND,Other: Householder developments,E01006124,E02001263,00BUFH0013,00BUGG,West,374543.4645,395437.5864
407615,78122/HHA/2012,HHA,20120404,APPCOND,Other: Householder developments,E01006155,E02001264,00BUFN0021,00BUGT,West,378052.9995,395011.4184
407233,78103/HHA/2012,HHA,20120404,APPCOND,Other: Householder developments,E01006102,E02001276,00BUFD0020,00BUGC,Central,379553.7656,390649.0371
403413,78141/HHA/2012,HHA,20120405,REFUSED,Other: Householder developments,E01006162,E02001273,00BUFP0022,00BUGN,Central,379383.4556,391392.0844
405935,77829/FULL/2011,FULL,20120405,APPCOND,Minor: All other minor developments,E01006171,E02001271,00BUFQ0025,00BUGP,Central,377006.3797,392335.6743
407354,78163/LB/2012,LB,20120405,APPCOND,Other: Listed building consents (to alter/extend),E01006075,E02001283,00BUFA0011,00BUFY,South,376717.547,387998.8757
407313,78160/CLOPD/2012,CLOPD,20120405,APPCOND,Other: Certificates of lawful development,E01006077,E02001285,00BUFA0022,00BUGL,South,376898.8559,387060.6743
407154,78125/AA/2012,AA,20120405,APPCOND,Other: Advertisements,E01006171,E02001271,00BUFQ0021,00BUGD,Central,376634.4862,392275.9714
406698,78126/HHA/2012,HHA,20120405,APPCOND,Other: Householder developments,E01006189,E02001261,00BUFT0014,00BUGJ,North,379835.1695,395051.1071
406393,78153/HHA/2012,HHA,20120405,APPCOND,Other: Householder developments,E01006202,E02001267,00BUFW0019,00BUGT,West,376431.9711,394253.3054
406913,78180/FULL/2012,FULL,20120410,APPCOND,Minor: Retail distribution and servicing,E01006209,E02001281,00BUFX0030,00BUGK,South,378852.2428,387832.1535
407573,78134/HHA/2012,HHA,20120410,APPCOND,Other: Householder developments,E01006088,E02001284,00BUFB0014,00BUGL,South,377333.8241,387359.1489
407494,78119/HHA/2012,HHA,20120410,APPCOND,Other: Householder developments,E01006088,E02001284,00BUFB0018,00BUGL,South,377125.8424,387123.8762
407493,78142/HHA/2012,HHA,20120410,APPCOND,Other: Householder developments,E01006127,E02001265,00BUFH0020,00BUGG,West,373129.89,394473.7923
406957,78083/HHA/2012,HHA,20120410,APPCOND,Other: Householder developments,E01006084,E02001284,00BUFB0034,00BUGL,South,377482.194,386528.4766
407017,78124/HHA/2012,HHA,20120411,REFUSED,Other: Householder developments,E01006100,E02001278,00BUFD0021,00BUGC,Central,377851.9932,390645.4482
403154,77470/FULL/2011,FULL,20120411,APPCOND,Minor: All other minor developments,E01006134,E02001286,00BUFK0030,00BUGK,South,377707.7706,385776.5319
405435,77919/LB/2011,LB,20120411,APPCOND,Other: Listed building consents (to alter/extend),E01006134,E02001286,00BUFK0030,00BUGK,South,377707.7706,385776.5319
403155,77471/LB/2011,LB,20120411,APPCOND,Other: Listed building consents (to alter/extend),E01006134,E02001286,00BUFK0030,00BUGK,South,377707.7706,385776.5319
407273,78129/HHA/2012,HHA,20120412,REFUSED,Other: Householder developments,E01006097,E02001273,00BUFD0007,00BUGC,Central,378657.2883,391208.9669
407213,78137/FULL/2012,FULL,20120412,APPCOND,Minor: Retail distribution and servicing,E01006175,E02001276,00BUFR0001,00BUGQ,Central,380249.4921,390979.2526
406956,78148/HHA/2012,HHA,20120413,REFUSED,Other: Householder developments,E01006172,E02001274,00BUFQ0026,00BUFZ,Central,377287.4209,392195.7144
407617,78184/FULL/2012,FULL,20120413,APPCOND,Minor: All other minor developments,E01006082,E02001285,00BUFB0016,00BUGL,South,377180.9607,386635.1461
407936,78182/HHA/2012,HHA,20120413,APPCOND,Other: Householder developments,E01006209,E02001281,00BUFX0027,00BUGK,South,378891.9592,388269.5982
407778,78158/HHA/2012,HHA,20120413,APPCOND,Other: Householder developments,E01006146,E02001262,00BUFL0020,00BUGM,North,381481.7164,395059.1847
407633,78238/HHA/2012,HHA,20120413,APPCOND,Other: Householder developments,E01006183,E02001264,00BUFS0017,00BUGR,North,378896.3456,394643.0439
407294,78135/HHA/2012,HHA,20120413,APPCOND,Other: Householder developments,E01006140,E02001284,00BUFK0019,00BUGL,South,378526.2331,387021.7754
407878,78177/FULL/2012,FULL,20120416,APPCOND,Minor: Retail distribution and servicing,E01006202,E02001267,00BUFW0013,00BUGT,West,376677.7811,394605.3946
407053,78150/FULL/2012,FULL,20120416,APPCOND,Minor: All other minor developments,E01006145,E02001262,00BUFL0033,00BUGM,North,381774.0616,395810.9296
406053,78037/AA/2012,AA,20120416,APPCOND,Other: Advertisements,E01006157,E02001264,00BUFN0010,00BUGJ,North,379328.1642,396734.3852
407877,78176/HHA/2012,HHA,20120416,APPCOND,Other: Householder developments,E01006150,E02001270,00BUFM0002,00BUFZ,Central,378074.3872,392112.0184
407373,78167/HHA/2012,HHA,20120416,APPCOND,Other: Householder developments,E01006084,E02001284,00BUFB0032,00BUGL,South,377223.6124,386525.4775
407459,78161/HHA/2012,HHA,20120417,REFUSED,Other: Householder developments,E01006090,E02001278,00BUFC0004,00BUGB,South,377139.1499,389582.7923
407934,78179/HHA/2012,HHA,20120417,APPCOND,Other: Householder developments,E01006210,E02001279,00BUFX0033,00BUGU,South,378638.2834,390442.1564
407873,78169/HHA/2012,HHA,20120417,APPCOND,Other: Householder developments,E01006124,E02001263,00BUFH0005,00BUGG,West,374267.4117,395332.6165
407775,78156/HHA/2012,HHA,20120417,APPCOND,Other: Householder developments,E01006125,E02001265,00BUFH0028,00BUGG,West,373833.6307,395551.024
407473,78178/HHA/2012,HHA,20120417,APPCOND,Other: Householder developments,E01006132,E02001265,00BUFJ0004,00BUGH,West,374407.3386,394244.458
407015,78225/HHA/2012,HHA,20120417,APPCOND,Other: Householder developments,E01006194,E02001282,00BUFU0005,00BUGL,South,377149.0688,387650.9353
407673,78201/FULL/2012,FULL,20120418,APPCOND,Minor: All other minor developments,E01006088,E02001284,00BUFB0022,00BUGL,South,377329.1079,387067.5023
407514,78173/FULL/2012,FULL,20120418,APPCOND,Minor: All other minor developments,E01006157,E02001264,00BUFN0010,00BUGJ,North,379090.7559,395913.8001
408118,78211/HHA/2012,HHA,20120418,APPCOND,Other: Householder developments,E01006137,E02001286,00BUFK0001,00BUGK,South,379798.5862,384921.0867
407658,78196/HHA/2012,HHA,20120418,APPCOND,Other: Householder developments,E01006173,E02001276,00BUFR0027,00BUGQ,Central,380353.5118,391430.1335
406133,77950/HHA/2012,HHA,20120418,APPCOND,Other: Householder developments,E01006088,E02001284,00BUFB0021,00BUGL,South,377463.7085,386991.9939
405858,78002/HHA/2012,HHA,20120418,APPCOND,Other: Householder developments,E01006137,E02001286,00BUFK0004,00BUGK,South,379702.795,385100.4854
407595,78146/FULL/2012,FULL,20120419,APPCOND,Minor: Dwellings,E01006137,E02001286,00BUFK0005,00BUGK,South,379210.9029,384854.2059
407715,78287/CLOPD/2012,CLOPD,20120419,APPROVE,Other: Certificates of lawful development,E01006151,E02001274,00BUFM0008,00BUGP,Central,377448.4799,391078.0743
406753,78000/AA/2012,AA,20120419,APPCOND,Other: Advertisements,E01006135,E02001286,00BUFK0026,00BUGK,South,379129.6973,385879.5324
403835,77477/CAC/2011,CAC,20120419,APPCOND,Other: Conservation area consents,E01006134,E02001286,00BUFK0033,00BUGK,South,378636.585,386075.6163
408075,78204/HHA/2012,HHA,20120419,APPCOND,Other: Householder developments,E01006140,E02001284,00BUFK0021,00BUGL,South,378378.8526,387011.2084
407635,78170/HHA/2012,HHA,20120419,APPCOND,Other: Householder developments,E01006089,E02001282,00BUFC0033,00BUGB,South,377103.1108,389676.7454
407096,78061/HHA/2012,HHA,20120419,APPCOND,Other: Householder developments,E01006138,E02001286,00BUFK0015,00BUGK,South,379287.7057,387022.8451
406241,77949/HHA/2012,HHA,20120419,APPCOND,Other: Householder developments,E01006096,E02001278,00BUFC0028,00BUGB,South,377049.5509,389860.8927
403655,77452/HHA/2011,HHA,20120419,APPCOND,Other: Householder developments,E01006134,E02001286,00BUFK0033,00BUGK,South,378636.585,386075.6163
406239,78006/FULL/2012,FULL,20120420,APPCOND,Smallscale Major: General Industry / storage / warehousing,E01006121,E02001260,00BUFG0001,00BUGJ,North,378076.6216,396799.2067
407461,78104/FULL/2012,FULL,20120420,APPCOND,Minor: All other minor developments,E01006160,E02001273,00BUFP0027,00BUGN,Central,378540.4063,392151.717
407753,78217/FULL/2012,FULL,20120420,REFUSED,Minor: Dwellings,E01006076,E02001283,00BUFA0015,00BUGA,South,375929.2944,387866.8735
408146,78221/FULL/2012,FULL,20120420,APPCOND,Other: Notifications,E01006121,E02001260,00BUFG0001,00BUGJ,North,377953.7867,396791.5389
407875,78172/HHA/2012,HHA,20120420,APPCOND,Other: Householder developments,E01006133,E02001268,00BUFJ0015,00BUGH,West,375797.8517,393825.9977
392119,75480/O/2010,O,20120423,APPCOND,Minor: Dwellings,E01006081,E02001285,00BUFB0017,00BUGA,South,375578.0548,386593.2881
406777,78033/HHA/2012,HHA,20120423,APPCOND,Other: Householder developments,E01006117,E02001260,00BUFG0028,00BUGF,West,377001.4574,395357.7093
406537,78051/FULL/2012,FULL,20120424,APPCOND,Smallscale Major: Dwellings,E01006202,E02001267,00BUFW0013,00BUGT,West,376745.7698,394468.6838
406276,77895/FULL/2011,FULL,20120424,APPCOND,Largescale Major: General Industry / storage / warehousing,E01006107,E02001275,00BUFE0001,00BUGD,West,372831.625,391284.8251
408076,78205/HHA/2012,HHA,20120424,APPCOND,Other: Householder developments,E01006088,E02001284,00BUFB0015,00BUGL,South,377294.6353,387327.7478
407834,78191/HHA/2012,HHA,20120424,APPCOND,Other: Householder developments,E01006202,E02001267,00BUFW0018,00BUGT,West,376522.1968,394259.9835
407813,78192/HHA/2012,HHA,20120424,APPCOND,Other: Householder developments,E01006104,E02001275,00BUFE0012,00BUGD,West,371269.8208,391635.3248
407433,78200/HHA/2012,HHA,20120424,APPCOND,Other: Householder developments,E01006177,E02001276,00BUFR0011,00BUGQ,Central,380170.5786,390369.2072
404955,77680/HHA/2011,HHA,20120424,APPCOND,Other: Householder developments,E01006082,E02001285,00BUFB0019,00BUGA,South,375809.2628,386954.4147
400884,78185/HHA/2012,HHA,20120424,APPCOND,Other: Householder developments,E01006146,E02001262,00BUFL0016,00BUGM,North,381145.0211,395015.7872
407874,78193/HHA/2012,HHA,20120425,APPCOND,Other: Householder developments,E01006147,E02001270,00BUFM0024,00BUFZ,Central,378141.9967,392567.358
407978,78232/AA/2012,AA,20120426,APPCOND,Other: Advertisements,E01006121,E02001260,00BUFG0001,00BUGJ,North,378136.2747,396765.5563
